model,run,condition,seed,subset,n_samples,bleu,chrf,chrfpp,ref_mode,alt_ref_rows_used,source_file
nllb-600m,ablations,pronoun,ALL-8,combined,1455,20.7,30.54,30.41,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/ALL-8/seed456/test_predictions.jsonl
nllb-600m,ablations,pronoun,ALL-8,structured,455,92.44,96.02,95.9,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/ALL-8/seed456/test_predictions.jsonl
nllb-600m,ablations,pronoun,ALL-8,tatoeba,1000,0.54,13.08,12.3,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/ALL-8/seed456/test_predictions.jsonl
nllb-600m,ablations,pronoun,MINIMAL-1,combined,1455,6.47,21.62,20.82,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/MINIMAL-1/seed123/test_predictions.jsonl
nllb-600m,ablations,pronoun,MINIMAL-1,structured,455,43.71,65.0,63.08,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/MINIMAL-1/seed123/test_predictions.jsonl
nllb-600m,ablations,pronoun,MINIMAL-1,tatoeba,1000,0.27,11.48,10.58,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/MINIMAL-1/seed123/test_predictions.jsonl
nllb-600m,ablations,pronoun,MINIMAL-1,combined,1455,9.15,23.45,22.59,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/MINIMAL-1/seed42/test_predictions.jsonl
nllb-600m,ablations,pronoun,MINIMAL-1,structured,455,45.61,67.85,65.89,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/MINIMAL-1/seed42/test_predictions.jsonl
nllb-600m,ablations,pronoun,MINIMAL-1,tatoeba,1000,0.47,12.24,11.24,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/MINIMAL-1/seed42/test_predictions.jsonl
nllb-600m,ablations,pronoun,MINIMAL-1,combined,1455,8.53,22.4,21.57,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/MINIMAL-1/seed456/test_predictions.jsonl
nllb-600m,ablations,pronoun,MINIMAL-1,structured,455,42.19,64.35,62.35,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/MINIMAL-1/seed456/test_predictions.jsonl
nllb-600m,ablations,pronoun,MINIMAL-1,tatoeba,1000,0.35,12.09,11.11,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/MINIMAL-1/seed456/test_predictions.jsonl
nllb-600m,ablations,pronoun,REDUCED-4,combined,1455,17.21,29.74,29.53,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/REDUCED-4/seed123/test_predictions.jsonl
nllb-600m,ablations,pronoun,REDUCED-4,structured,455,91.59,95.46,95.17,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/REDUCED-4/seed123/test_predictions.jsonl
nllb-600m,ablations,pronoun,REDUCED-4,tatoeba,1000,0.45,13.02,12.2,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/REDUCED-4/seed123/test_predictions.jsonl
nllb-600m,ablations,pronoun,REDUCED-4,combined,1455,22.38,30.57,30.29,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/REDUCED-4/seed42/test_predictions.jsonl
nllb-600m,ablations,pronoun,REDUCED-4,structured,455,91.25,95.45,95.21,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/REDUCED-4/seed42/test_predictions.jsonl
nllb-600m,ablations,pronoun,REDUCED-4,tatoeba,1000,0.58,13.14,12.11,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/REDUCED-4/seed42/test_predictions.jsonl
nllb-600m,ablations,pronoun,REDUCED-4,combined,1455,18.19,29.42,29.28,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/REDUCED-4/seed456/test_predictions.jsonl
nllb-600m,ablations,pronoun,REDUCED-4,structured,455,90.66,95.27,95.06,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/REDUCED-4/seed456/test_predictions.jsonl
nllb-600m,ablations,pronoun,REDUCED-4,tatoeba,1000,0.47,12.42,11.65,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/REDUCED-4/seed456/test_predictions.jsonl
nllb-600m,ablations,pronoun,SINGULAR-3,combined,1455,20.03,28.93,28.51,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/SINGULAR-3/seed123/test_predictions.jsonl
nllb-600m,ablations,pronoun,SINGULAR-3,structured,455,83.18,90.33,89.82,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/SINGULAR-3/seed123/test_predictions.jsonl
nllb-600m,ablations,pronoun,SINGULAR-3,tatoeba,1000,0.57,12.9,11.74,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/SINGULAR-3/seed123/test_predictions.jsonl
nllb-600m,ablations,pronoun,SINGULAR-3,combined,1455,17.56,29.01,28.67,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/SINGULAR-3/seed42/test_predictions.jsonl
nllb-600m,ablations,pronoun,SINGULAR-3,structured,455,85.12,91.52,91.04,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/SINGULAR-3/seed42/test_predictions.jsonl
nllb-600m,ablations,pronoun,SINGULAR-3,tatoeba,1000,0.48,13.12,12.14,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/SINGULAR-3/seed42/test_predictions.jsonl
nllb-600m,ablations,pronoun,SINGULAR-3,combined,1455,18.74,29.32,29.05,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/SINGULAR-3/seed456/test_predictions.jsonl
nllb-600m,ablations,pronoun,SINGULAR-3,structured,455,84.77,91.22,90.77,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/SINGULAR-3/seed456/test_predictions.jsonl
nllb-600m,ablations,pronoun,SINGULAR-3,tatoeba,1000,0.56,13.18,12.32,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/pronoun/SINGULAR-3/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,1-VERB,combined,1455,4.45,15.74,14.93,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/1-VERB/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,1-VERB,structured,455,16.11,26.19,26.61,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/1-VERB/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,1-VERB,tatoeba,1000,0.42,13.08,11.74,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/1-VERB/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,1-VERB,combined,1455,4.56,15.84,15.02,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/1-VERB/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,1-VERB,structured,455,16.87,26.7,27.0,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/1-VERB/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,1-VERB,tatoeba,1000,0.43,13.07,11.76,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/1-VERB/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,1-VERB,combined,1455,4.62,15.94,15.09,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/1-VERB/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,1-VERB,structured,455,15.92,26.6,26.89,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/1-VERB/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,1-VERB,tatoeba,1000,0.54,13.2,11.84,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/1-VERB/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,10-VERBS,combined,1455,16.74,29.28,29.13,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/10-VERBS/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,10-VERBS,structured,455,96.84,98.12,98.1,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/10-VERBS/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,10-VERBS,tatoeba,1000,0.37,11.78,11.01,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/10-VERBS/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,10-VERBS,combined,1455,22.22,30.79,30.72,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/10-VERBS/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,10-VERBS,structured,455,97.14,98.65,98.65,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/10-VERBS/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,10-VERBS,tatoeba,1000,0.56,12.86,12.04,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/10-VERBS/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,10-VERBS,combined,1455,20.7,30.54,30.41,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/10-VERBS/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,10-VERBS,structured,455,92.44,96.02,95.9,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/10-VERBS/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,10-VERBS,tatoeba,1000,0.54,13.08,12.3,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/10-VERBS/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-a,combined,1455,3.76,14.13,13.71,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-a/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-a,structured,455,15.08,28.45,27.99,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-a/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-a,tatoeba,1000,0.28,10.4,9.85,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-a/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-a,combined,1455,3.61,16.32,15.39,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-a/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-a,structured,455,15.01,30.06,29.44,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-a/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-a,tatoeba,1000,0.49,12.98,11.78,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-a/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-a,combined,1455,3.82,14.45,13.86,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-a/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-a,structured,455,15.05,28.4,28.01,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-a/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-a,tatoeba,1000,0.33,10.78,9.98,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-a/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-b,combined,1455,6.81,17.78,17.06,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-b/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-b,structured,455,30.08,36.75,37.11,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-b/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-b,tatoeba,1000,0.31,13.08,11.79,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-b/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-b,combined,1455,6.55,15.57,15.13,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-b/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-b,structured,455,31.93,36.1,36.76,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-b/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-b,tatoeba,1000,0.19,10.31,9.33,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-b/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-b,combined,1455,5.57,15.84,15.49,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-b/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-b,structured,455,31.29,35.57,36.35,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-b/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-b,tatoeba,1000,0.2,10.9,10.06,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-b/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-c,combined,1455,5.08,15.75,15.41,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-c/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-c,structured,455,22.44,34.45,34.96,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-c/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-c,tatoeba,1000,0.29,10.97,10.17,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-c/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-c,combined,1455,5.1,15.34,15.04,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-c/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-c,structured,455,24.08,34.81,35.37,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-c/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-c,tatoeba,1000,0.35,10.44,9.67,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-c/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-c,combined,1455,5.07,16.4,15.9,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-c/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-c,structured,455,24.34,35.46,35.84,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-c/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,3-VERBS-c,tatoeba,1000,0.36,11.75,10.77,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/3-VERBS-c/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-a,combined,1455,6.93,16.5,16.63,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-a/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-a,structured,455,34.72,44.44,44.81,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-a/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-a,tatoeba,1000,0.31,10.11,9.72,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-a/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-a,combined,1455,6.55,18.18,17.84,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-a/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-a,structured,455,32.54,45.61,45.55,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-a/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-a,tatoeba,1000,0.37,11.45,10.7,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-a/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-a,combined,1455,8.85,18.73,18.17,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-a/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-a,structured,455,34.15,46.17,45.99,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-a/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-a,tatoeba,1000,0.46,11.47,10.43,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-a/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-b,combined,1455,10.79,19.01,19.15,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-b/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-b,structured,455,40.45,47.72,49.3,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-b/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-b,tatoeba,1000,0.44,11.22,10.59,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-b/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-b,combined,1455,10.75,19.15,19.44,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-b/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-b,structured,455,39.13,47.72,49.34,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-b/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-b,tatoeba,1000,0.47,11.47,11.01,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-b/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-b,combined,1455,10.09,19.06,19.3,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-b/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-b,structured,455,39.51,47.45,48.98,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-b/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-b,tatoeba,1000,0.43,11.46,10.99,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-b/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-c,combined,1455,8.0,18.4,17.82,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-c/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-c,structured,455,38.28,44.23,44.47,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-c/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-c,tatoeba,1000,0.25,11.8,10.72,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-c/seed123/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-c,combined,1455,9.16,19.07,18.55,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-c/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-c,structured,455,37.85,44.35,44.6,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-c/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-c,tatoeba,1000,0.43,12.55,11.5,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-c/seed42/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-c,combined,1455,9.11,19.47,18.84,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-c/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-c,structured,455,38.46,44.78,44.9,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-c/seed456/test_predictions.jsonl
nllb-600m,ablations,verb,5-VERBS-c,tatoeba,1000,0.36,13.09,11.93,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/ablations/verb/5-VERBS-c/seed456/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,123,combined,1455,3.02,26.24,23.59,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed123/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,123,structured,455,4.64,32.25,28.85,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed123/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,123,tatoeba,1000,2.57,24.66,22.19,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed123/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,2024,combined,1455,3.21,26.13,23.41,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed2024/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,2024,structured,455,4.51,31.0,27.46,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed2024/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,2024,tatoeba,1000,2.91,24.86,22.34,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed2024/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,42,combined,1455,3.09,25.74,23.23,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed42/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,42,structured,455,5.64,31.57,28.35,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed42/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,42,tatoeba,1000,2.28,24.22,21.86,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed42/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,456,combined,1455,3.79,26.53,23.91,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed456/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,456,structured,455,6.54,33.47,30.04,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed456/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,456,tatoeba,1000,3.04,24.7,22.26,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed456/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,789,combined,1455,3.58,26.88,24.26,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed789/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,789,structured,455,5.59,33.02,29.52,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed789/test_predictions.jsonl
nllb-600m,baselines,LENGTH-STRATIFIED,789,tatoeba,1000,3.06,25.28,22.86,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/LENGTH-STRATIFIED/seed789/test_predictions.jsonl
nllb-600m,baselines,TF-IDF-DIVERSE,123,combined,1455,4.17,26.43,23.99,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/TF-IDF-DIVERSE/seed123/test_predictions.jsonl
nllb-600m,baselines,TF-IDF-DIVERSE,123,structured,455,7.74,33.95,30.84,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/TF-IDF-DIVERSE/seed123/test_predictions.jsonl
nllb-600m,baselines,TF-IDF-DIVERSE,123,tatoeba,1000,3.29,24.51,22.19,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/TF-IDF-DIVERSE/seed123/test_predictions.jsonl
nllb-600m,baselines,TF-IDF-DIVERSE,2024,combined,1455,4.06,26.28,23.74,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/TF-IDF-DIVERSE/seed2024/test_predictions.jsonl
nllb-600m,baselines,TF-IDF-DIVERSE,2024,structured,455,5.94,32.72,29.17,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/TF-IDF-DIVERSE/seed2024/test_predictions.jsonl
nllb-600m,baselines,TF-IDF-DIVERSE,2024,tatoeba,1000,3.64,24.61,22.31,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/TF-IDF-DIVERSE/seed2024/test_predictions.jsonl
nllb-600m,baselines,TF-IDF-DIVERSE,42,combined,1455,3.76,25.68,23.37,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/TF-IDF-DIVERSE/seed42/test_predictions.jsonl
nllb-600m,baselines,TF-IDF-DIVERSE,42,structured,455,6.22,32.64,29.59,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/TF-IDF-DIVERSE/seed42/test_predictions.jsonl
nllb-600m,baselines,TF-IDF-DIVERSE,42,tatoeba,1000,3.16,23.86,21.7,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/TF-IDF-DIVERSE/seed42/test_predictions.jsonl
nllb-600m,baselines,TF-IDF-DIVERSE,456,combined,1455,3.67,25.81,23.46,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/TF-IDF-DIVERSE/seed456/test_predictions.jsonl
nllb-600m,baselines,TF-IDF-DIVERSE,456,structured,455,6.51,32.04,29.25,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/TF-IDF-DIVERSE/seed456/test_predictions.jsonl
nllb-600m,baselines,TF-IDF-DIVERSE,456,tatoeba,1000,3.0,24.19,21.92,multi,0,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/TF-IDF-DIVERSE/seed456/test_predictions.jsonl
nllb-600m,baselines,TF-IDF-DIVERSE,789,combined,1455,3.92,26.1,23.65,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/TF-IDF-DIVERSE/seed789/test_predictions.jsonl
nllb-600m,baselines,TF-IDF-DIVERSE,789,structured,455,7.68,32.41,29.51,multi,54,experiments/results/rebuttal_repaired_20260502/nllb-600m/baselines/TF-IDF-DIVERSE/seed789/test_predictions.jsonl
