model,run,condition,seed,subset,n_samples,bleu,chrf,chrfpp,ref_mode,alt_ref_rows_used,source_file
mbart-fr,exp1,RANDOM-10K,2024,tatoeba,1000,2.96,25.34,22.88,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,42,combined,1455,3.29,26.33,23.43,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,42,structured,455,5.02,33.32,29.27,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,42,tatoeba,1000,2.84,24.48,21.86,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,456,combined,1455,3.45,26.85,24.01,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,456,structured,455,4.24,33.44,29.01,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,456,tatoeba,1000,3.25,25.09,22.67,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,789,combined,1455,3.07,26.76,23.75,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,789,structured,455,4.53,34.88,30.23,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K,789,tatoeba,1000,2.68,24.62,22.03,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,123,combined,1455,24.0,39.22,37.8,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,123,structured,455,92.3,95.44,95.31,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,123,tatoeba,1000,2.53,24.7,22.16,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,2024,combined,1455,24.2,38.92,37.44,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,2024,structured,455,89.82,94.05,93.72,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,2024,tatoeba,1000,2.86,24.32,21.73,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,42,combined,1455,24.4,39.23,37.82,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,42,structured,455,90.56,94.77,94.55,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,42,tatoeba,1000,2.88,24.72,22.17,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,456,combined,1455,24.1,39.87,38.29,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,456,structured,455,90.36,94.94,94.55,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,456,tatoeba,1000,3.31,25.5,22.83,multi,0,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,789,combined,1455,22.44,38.29,36.75,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,789,structured,455,83.39,92.44,91.61,multi,54,experiments/results/rebuttal_repaired_20260502/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed789/test_predictions.jsonl
