experiment,condition,seed,model,train_size,test_bleu,test_chrf,test_chrfpp,test_ter,training_time_seconds,actual_epochs,test_n_samples
baselines,LENGTH-STRATIFIED,2024,facebook/nllb-200-distilled-600M,1608,3.2378468342065467,25.045901744783677,22.59259061013101,100.21686746987952,4372.419183254242,,1455
baselines,LENGTH-STRATIFIED,42,facebook/nllb-200-distilled-600M,1608,2.999951364166991,25.082832842941006,22.547341391889443,100.02409638554217,4506.65846991539,,1455
baselines,LENGTH-STRATIFIED,456,facebook/nllb-200-distilled-600M,1608,2.8040838251126456,25.906300509800325,23.186498618595,100.03614457831324,4477.771714448929,,1455
baselines,LENGTH-STRATIFIED,789,facebook/nllb-200-distilled-600M,1608,3.3236134920604767,26.11077870726263,23.496471469753423,96.96385542168674,4553.575706005096,,1455
baselines,STRUCT4K-ALL-BASELINES,123,facebook/nllb-200-distilled-600M,7073,53.57034745157173,64.28761928874732,62.96125507017866,45.04819277108434,5693.037325143814,,1455
baselines,STRUCT4K-ALL-BASELINES,2024,facebook/nllb-200-distilled-600M,7073,34.05914237828101,50.423142526077704,48.80275099369694,63.24096385542168,3657.923560142517,,1455
baselines,STRUCT4K-ALL-BASELINES,42,facebook/nllb-200-distilled-600M,7073,44.16425347544651,57.96247865192468,56.39574162455312,55.24096385542169,4431.222404718399,,1455
baselines,STRUCT4K-ALL-BASELINES,456,facebook/nllb-200-distilled-600M,7073,45.454124485203735,58.96492770682198,57.55131815080096,53.807228915662655,4589.458516120911,,1455
baselines,STRUCT4K-ALL-BASELINES,789,facebook/nllb-200-distilled-600M,7073,28.254110177275475,46.36729622631226,44.859695610298736,68.04819277108433,3200.480334997177,,1455
baselines,STRUCT4K-LENGTH2K,123,facebook/nllb-200-distilled-600M,4735,25.98774083390407,40.90548474410923,39.600331348595105,76.06024096385542,2728.1638135910034,,1455
baselines,STRUCT4K-LENGTH2K,2024,facebook/nllb-200-distilled-600M,4735,30.26844518113604,45.42980932489616,44.35974451722013,74.96385542168674,3488.990995168686,,1455
baselines,STRUCT4K-LENGTH2K,42,facebook/nllb-200-distilled-600M,4735,38.48390115007344,49.95711846342351,48.68723908719505,62.69879518072289,5865.488948345184,,1455
baselines,STRUCT4K-LENGTH2K,456,facebook/nllb-200-distilled-600M,4735,35.06889472527573,47.062091713374784,45.89913389346292,66.66265060240963,3677.0558409690857,,1455
baselines,STRUCT4K-LENGTH2K,789,facebook/nllb-200-distilled-600M,4735,38.26560924167483,49.515222746160525,48.22161949634688,63.036144578313255,6025.6985692977905,,1455
baselines,STRUCT4K-TFIDF2K,123,facebook/nllb-200-distilled-600M,4568,22.800173514438953,37.4021414984816,35.9042601613572,78.144578313253,3866.2057836055756,,1455
baselines,STRUCT4K-TFIDF2K,2024,facebook/nllb-200-distilled-600M,4568,20.381088585466426,36.02660087675722,34.82321515930659,86.26506024096385,2581.724057197571,,1455
baselines,STRUCT4K-TFIDF2K,42,facebook/nllb-200-distilled-600M,4568,20.44448113121084,35.83544052579447,34.447155947607506,87.24096385542168,3162.632707595825,,1455
baselines,STRUCT4K-TFIDF2K,456,facebook/nllb-200-distilled-600M,4568,20.321249201528918,34.36621091674561,33.39702615273008,86.1566265060241,2343.9357895851135,,1455
