experiment,condition,seed,model,train_size,test_bleu,test_chrf,test_chrfpp,test_ter,training_time_seconds,actual_epochs,test_n_samples
ablations/verb,3-VERBS-a,456,facebook/nllb-200-distilled-600M,647,4.043701293025246,12.8468582357496,12.645872688820464,96.48192771084338,1069.4111347198486,,1455
ablations/verb,3-VERBS-b,123,facebook/nllb-200-distilled-600M,575,6.027340067292757,14.891659965501264,14.306170341901545,108.43373493975903,911.9474067687988,,1455
ablations/verb,3-VERBS-b,42,facebook/nllb-200-distilled-600M,575,6.089821514114873,15.289164201521407,14.69253804812363,110.12048192771084,895.5987343788147,,1455
ablations/verb,3-VERBS-b,456,facebook/nllb-200-distilled-600M,575,5.6954925824273435,16.136746635851264,15.330650088450671,110.16867469879519,896.1828060150146,,1455
ablations/verb,3-VERBS-c,123,facebook/nllb-200-distilled-600M,585,5.676658102723175,14.141591210202664,13.757310276721196,100.87951807228916,1029.8263621330261,,1455
ablations/verb,3-VERBS-c,42,facebook/nllb-200-distilled-600M,585,5.727156605180163,14.619226184205122,14.383195735500875,106.27710843373495,975.2955896854401,,1455
ablations/verb,3-VERBS-c,456,facebook/nllb-200-distilled-600M,585,5.818510786021201,14.420914653478507,14.224870660473446,103.43373493975902,1002.7574753761292,,1455
ablations/verb,5-VERBS-a,123,facebook/nllb-200-distilled-600M,969,8.693074682594611,17.044836790987496,16.757718321916293,97.20481927710843,1671.3204061985016,,1455
ablations/verb,5-VERBS-a,42,facebook/nllb-200-distilled-600M,969,8.881685578507732,18.043671038815525,17.726194751906522,98.43373493975903,1670.5598413944244,,1455
ablations/verb,5-VERBS-a,456,facebook/nllb-200-distilled-600M,969,8.551705118561763,17.419270942928577,17.11587595525176,102.96385542168676,1712.43816781044,,1455
ablations/verb,5-VERBS-b,123,facebook/nllb-200-distilled-600M,954,5.400780743458294,16.62595052996204,16.619959341550196,153.6867469879518,1586.0219688415527,,1455
ablations/verb,5-VERBS-b,42,facebook/nllb-200-distilled-600M,954,9.215093534015747,17.224680134466997,17.29874424024894,94.24096385542168,1602.3771197795868,,1455
ablations/verb,5-VERBS-b,456,facebook/nllb-200-distilled-600M,954,9.315757328883135,17.308839223308205,17.38589235395893,98.80722891566265,1599.8376936912537,,1455
ablations/verb,5-VERBS-c,123,facebook/nllb-200-distilled-600M,935,7.8474536475669066,16.341480821336894,15.76396095281933,101.92771084337349,1555.157294511795,,1455
ablations/verb,5-VERBS-c,42,facebook/nllb-200-distilled-600M,935,8.253475194029846,16.628013301257603,16.138842570274843,92.25301204819277,1592.803181886673,,1455
ablations/verb,5-VERBS-c,456,facebook/nllb-200-distilled-600M,935,7.075073883418444,16.116014394138688,15.68454204583033,115.57831325301204,1558.00124001503,,1455
